                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4058,                 1.4874,                 1.4913,                 1.4397,                 1.7369,                 1.4549,                0.57615,                0.46627,                0.50012,                0.24659,                 1.6912,                 1.7446,                 1.8804,                 1.6764,                  1.957,                 1.7999,               0.007822,               0.007822,               0.007822
                     25,                 1.4205,                 1.5009,                 1.5054,                 1.4314,                 1.7555,                 1.4633,                0.66925,                0.34353,                0.32514,                0.15955,                 1.9489,                 2.5453,                 2.2712,                 1.8971,                 2.9114,                  2.126,               0.007723,               0.007723,               0.007723
                     26,                 1.4111,                 1.4545,                 1.4864,                 1.4352,                 1.6584,                  1.439,                0.59351,                 0.1179,                0.06685,                0.03041,                 3.0174,                  4.007,                 3.4845,                 2.8001,                 4.4846,                 3.3704,               0.007624,               0.007624,               0.007624
                     27,                 1.3859,                 1.4504,                 1.4709,                 1.4364,                 1.6778,                 1.4339,                0.51285,                0.17183,                0.17307,                0.09185,                 2.5578,                 3.7902,                 2.8871,                 2.3433,                 4.1155,                 2.6686,               0.007525,               0.007525,               0.007525
                     28,                 1.4107,                 1.4552,                 1.4891,                 1.4484,                 1.6844,                 1.4467,                0.70487,                0.42683,                0.46583,                0.21446,                 1.8437,                 1.8097,                 1.9825,                 1.7601,                  2.041,                 1.8828,               0.007426,               0.007426,               0.007426
                     29,                 1.4024,                 1.4407,                 1.4807,                 1.4434,                 1.6657,                 1.4533,                0.66008,                0.35464,                0.38099,                0.17505,                 1.8681,                 2.1507,                 2.1791,                 1.7012,                 2.5289,                 1.9908,               0.007327,               0.007327,               0.007327
                     30,                 1.4159,                 1.4455,                 1.4824,                 1.4523,                 1.6559,                 1.4423,                0.67036,                0.42196,                0.46226,                0.24529,                 1.7653,                 1.6729,                 1.9108,                 1.6306,                 1.8804,                 1.7767,               0.007228,               0.007228,               0.007228
                     31,                  1.394,                  1.406,                 1.4575,                 1.4342,                 1.5982,                 1.4169,                0.54218,                0.31995,                0.29918,                0.13779,                 2.1245,                 2.5339,                 2.4233,                 2.0443,                 2.8992,                 2.2929,               0.007129,               0.007129,               0.007129
                     32,                 1.3738,                 1.4164,                 1.4702,                 1.4148,                 1.6189,                 1.4289,                0.57069,                0.35033,                0.32657,                0.15014,                 1.9188,                 2.4723,                 2.1876,                  1.879,                 2.7991,                 2.1037,                0.00703,                0.00703,                0.00703
                     33,                  1.407,                 1.4117,                 1.4817,                 1.4341,                 1.6239,                 1.4556,                0.85066,                0.23192,                0.31035,                0.14899,                 2.2391,                  2.798,                 2.5377,                 2.1662,                 3.2203,                 2.5128,               0.006931,               0.006931,               0.006931
                     34,                 1.3663,                  1.357,                 1.4441,                 1.4162,                 1.5427,                 1.4145,                0.70379,                0.43726,                0.50719,                0.25236,                 1.5793,                 1.5429,                 1.7708,                 1.6191,                 1.7092,                 1.7479,               0.006832,               0.006832,               0.006832
                     35,                 1.3418,                 1.3328,                 1.4315,                 1.4101,                 1.4917,                 1.4005,                0.59937,                0.39972,                0.40334,                0.19341,                 1.9854,                 2.1124,                  2.244,                 1.9478,                 2.4028,                 2.1581,               0.006733,               0.006733,               0.006733
                     36,                 1.3751,                 1.3478,                 1.4594,                 1.4206,                  1.539,                 1.4206,                0.69006,                0.20621,                0.20428,                0.08995,                 2.1417,                 3.2898,                 2.4771,                  1.988,                 3.6852,                 2.2561,               0.006634,               0.006634,               0.006634
